12730;Drive R Rear L Door Opened
12731;Drive R Rear R Door Opened
12732;Drive R Trunk Door Opened
12733;SSF Engine Cover Open
12734;SSF Roof Open
12735;SSF Charging Wire Plugged
12736;SSF Battery Charging
12737;SSF Electric Engine State
12738;SSF Car Closed Factory Remote
12739;Drive Right Car Closed
12740;SSF Factory Alarm Actuated
12741;SSF Factory Alarm Emulated
12742;SSF Signal Close Factory Rem
12743;SSF Signal Open Factory Rem
12744;SSF Rearming Signal
12745;SSF CAN Module In Sleep
12746;SSF Factory Remote 3x
12747;SSF Factory Armed
12748;SSF Drive Active
12749;Drive R Parking Gear Active
12750;Drive R Reverse Gear Active
12751;Drive R Neutral Gear Active
12752;SSF EngineWork On Dual Fuel
12753;SSF Engine Work On LPG
12754;CSF Parking Lights On
12755;CSF Dipped Head lights On
12756;CSF Full Beam Head lights On
12757;CSF Rear Fog Lights On
12758;CSF Front Fog Lights On
12759;CSF Additional Front Lights On
12760;CSF Additional Rear Lights On
12761;CSF Light Signal On
12762;CSF Trailer Connected
12763;CSF Air Cond On
12764;CSF Cruise Control On
12765;CSF Automatic Retarded On
12766;CSF Manual Retarded On
12767;CSF Driver Seatbelt
12768;CSF Front Pass Seatbelt
12769;CSF Rear Left Pass Seatbelt
12770;CSF Rear Right Pass Seatbelt
12771;CSF Rear Centre Pass Seatbelt
12772;CSF Front Pass Present
12773;CSF Start Stop System Inactive
12774;CSF PTO
12775;CSF Front Differential Locked
12776;CSF Rear Differential Locked
12777;CSF Central Diff4HI Locked
12778;CSF Central Diff4LO Locked
12779;CSF Trailer Axle1 Lift Active
12780;CSF Trailer Axle2 Lift Active
12781;ISF Check Engine On
12782;ISF ABS
12783;ISF ESP Indicator
12784;ISF ESP
12785;ISF STOP
12786;ISF Oil Level Indicator On
12787;ISF Coolant Level Ind
12788;ISF Battery Charging Ind
12789;ISF Handbrake System Ind
12790;ISF AIRBAG Ind
12791;ISF EPS Ind
12792;ISF Warning Ind
12793;ISF Light Failure Ind
12794;ISF Low Tire Press Ind
12795;ISF Wear Of Brake Pads Ind
12796;ISF Low Fuel Level Ind
12797;ISF Maintenance Ind
12798;ISF Glow Plug Ind
12799;ISF FAP Ind
12800;ISF EPC Ind
12801;ISF Engine Oil Filt Plug Ind
12802;ISF Low Engine Oil Press Ind
12803;ISF High Engine OilTemp Ind
12804;ISF Low Coolant Level Ind
12805;Hydraulic Sys High Temp Ind
12806;ISF Oil Over In Hdr Chamb Ind
12807;ISF Air Filter Is Plugged Ind
12808;ISF Fuel Filter Is Plugged Ind
12809;ISF Water In Fuel Ind
12810;ISF Clog Brk Sys Filt Ind
12811;ISF Low Washer Fluid Level Ind
12812;ISF Low AdBlue Level Ind
12813;ISF LowTrailer Tyre Press Ind
12814;ISF Wear Trail Brk Lining Ind
12815;ISF High Trailer Bk Temp Ind
12816;ISF Inc Trail Pneum Supp Ind
12817;ISF Low CNG Level Ind
12818;ASF Right Joystick Moved Right
12819;ASF Right Joystick Moved Left
12820;ASF Right Joystick Moved Frwd
12821;ASF Right Joystick Moved Back
12822;ASF Left Joystick Moved Right
12823;ASF Left Joystick Moved Left
12824;ASF Left Joystick Moved Frwd
12825;ASF Left Joystick Moved Back
12826;ASF First Rear Hydraulic On
12827;ASF Second Rear Hydraulic On
12828;ASF Third Rear Hydraulic On
