239;Ignition
240;Movement
80;Data Mode
21;GSM Signal
200;Sleep Mode
69;GNSS Status
181;GNSS PDOP
182;GNSS HDOP
66;External Voltage
24;Speed
205;GSM Cell ID
206;GSM Area Code
67;Battery Voltage
68;Battery Current
241;Active GSM Operator
199;Trip Odometer
16;Total Odometer
1;Digital Input 1
9;Analog Input 1
179;Digital Output 1
12;Fuel Used GPS
13;Fuel Rate GPS
17;Axis X
18;Axis Y
19;Axis Z
11;ICCID1
10;SD Status
2;Digital Input 2
3;Digital Input 3
6;Analog Input 2
180;Digital Output 2
72;Dallas Temperature 1
73;Dallas Temperature 2
74;Dallas Temperature 3
75;Dallas Temperature 4
76;Dallas Temperature ID 1
77;Dallas Temperature ID 2
79;Dallas Temperature ID 3
71;Dallas Temperature ID 4
78;iButton
207;RFID
201;LLS 1 Fuel Level
202;LLS 1 Temperature
203;LLS 2 Fuel Level
204;LLS 2 Temperature
210;LLS 3 Fuel Level
211;LLS 3 Temperature
212;LLS 4 Fuel Level
213;LLS 4 Temperature
214;LLS 5 Fuel Level
215;LLS 5 Temperature
15;Eco Score
113;Battery Level
238;User ID
237;Network Type
8;Authorized iButton
4;Pulse Counter Din1
5;Pulse Counter Din2
263;BT Status
264;Barcode ID
269;Escort LLS Temperature #1
271;Escort LLS Battery Voltage #1
272;Escort LLS Temperature #2
274;Escort LLS Battery Voltage #2
275;Escort LLS Temperature #3
277;Escort LLS Battery Voltage #3
278;Escort LLS Temperature #4
280;Escort LLS Battery Voltage #4
303;Instant Movement
327;UL202-02 Sensor Fuel level
483;UL202-02 Sensor Status
380;Digital output 3
381;Ground Sense
387;ISO6709 Coordinates
636;UMTS/LTE Cell ID
403;Driver Name
404;Driver card license type
405;Driver Gender
406;Driver Card ID
407;Driver card expiration date
408;Driver Card place of issue
409;Driver Status Event
329;AIN Speed
500;MSP500 vendor name
501;MSP500 vehicle number
502;MSP500 speed sensor
622;Frequency DIN1
623;Frequency DIN2
637;Wake Reason
155;Geofence zone 01
156;Geofence zone 02
157;Geofence zone 03
158;Geofence zone 04
159;Geofence zone 05
61;Geofence zone 06
62;Geofence zone 07
63;Geofence zone 08
64;Geofence zone 09
65;Geofence zone 10
70;Geofence zone 11
88;Geofence zone 12
91;Geofence zone 13
92;Geofence zone 14
93;Geofence zone 15
94;Geofence zone 16
95;Geofence zone 17
96;Geofence zone 18
97;Geofence zone 19
98;Geofence zone 20
99;Geofence zone 21
153;Geofence zone 22
154;Geofence zone 23
190;Geofence zone 24
191;Geofence zone 25
192;Geofence zone 26
193;Geofence zone 27
194;Geofence zone 28
195;Geofence zone 29
196;Geofence zone 30
197;Geofence zone 31
198;Geofence zone 32
208;Geofence zone 33
209;Geofence zone 34
216;Geofence zone 35
217;Geofence zone 36
218;Geofence zone 37
219;Geofence zone 38
220;Geofence zone 39
221;Geofence zone 40
222;Geofence zone 41
223;Geofence zone 42
224;Geofence zone 43
225;Geofence zone 44
226;Geofence zone 45
227;Geofence zone 46
228;Geofence zone 47
229;Geofence zone 48
230;Geofence zone 49
231;Geofence zone 50
175;Auto Geofence
250;Trip
255;Over Speeding
257;Crash trace data
285;Blood alcohol content
251;Idling
253;Green driving type
246;Towing
252;Unplug
247;Crash detection
248;Immobilizer
254;Green Driving Value
249;Jamming
14;ICCID2
243;Green driving event duration
236;Alarm
258;EcoMaximum
259;EcoAverage
260;EcoDuration
283;Driving State
284;Driving Records
391;Private mode
317;Crash event counter
449;Ignition On Counter
256;VIN
30;Number of DTC
31;Engine Load
32;Coolant Temperature
33;Short Fuel Trim
34;Fuel pressure
35;Intake MAP
36;Engine RPM
37;Vehicle Speed
38;Timing Advance
39;Intake Air Temperature
40;MAF
41;Throttle Position
42;Runtime since engine start
43;Distance Traveled MIL On
44;Relative Fuel Rail Pressure
45;Direct Fuel Rail Pressure
46;Commanded EGR
47;EGR Error
48;Fuel Level
49;Distance Since Codes Clear
50;Barometic Pressure
51;Control Module Voltage
52;Absolute Load Value
759;Fuel Type
